None,,arfA,arfA,arfA,mscL,mscL,mscL,arfA,arfA,arfA,mscL,mscL,mscL,common,common
Pragia fontium,82985,A0A0G3CM04,A0A0G3CM04_9GAMM,AKJ40968.1,A0A0G3CG68,A0A0G3CG68_9GAMM,AKJ40976.1,400535.0,400786.0,False,410259.0,410660.0,True,-9473,0.9
Proteus hauseri ATCC 700826,1354271,A0A1B7JP34,A0A1B7JP34_PROHU,OAT49673.1,A0A1B7JPP0,A0A1B7JPP0_PROHU,OAT49674.1,15626.0,15832.0,False,15836.0,16243.0,True,-4,0.9
Proteus hauseri ZMd44,1312367,V6MNM6,V6MNM6_PROHU,EST57118.1,V6MF43,V6MF43_PROHU,EST57119.1,15778.0,15984.0,False,15988.0,16395.0,True,-4,0.9
Proteus mirabilis (strain HI4320),529507,B4F1L2,B4F1L2_PROMH,CAR46435.1,B4F1L3,MSCL_PROMH,CAR46437.1,3596802.0,3597005.0,False,3597009.0,3597416.0,True,-4,0.9
Pantoea stewartii subsp. stewartii DC283,660596,H3RGG9,H3RGG9_PANSE,EHT99526.1,H3RGH0,H3RGH0_PANSE,EHT99527.1,54203.0,54457.0,False,54432.0,54842.0,True,25,0.9
Proteus vulgaris,585,A0A0G4Q274,A0A0G4Q274_PROVU,CRL59913.1,A0A0G4Q244,A0A0G4Q244_PROVU,CRL59910.1,712020.0,712226.0,True,711609.0,712016.0,False,-4,0.9
Providencia alcalifaciens,126385,A0A291E927,A0A291E927_9GAMM,ATG15790.1,A0A291E9I3,A0A291E9I3_9GAMM,ATG15791.1,1203665.0,1203865.0,False,1203866.0,1204279.0,True,-1,0.9
Providencia alcalifaciens DSM 30120,520999,B6X9P4,B6X9P4_9GAMM,EEB47901.1,B6X9P5,B6X9P5_9GAMM,EEB47902.1,15536.0,15709.0,False,15736.0,16149.0,True,-27,0.9
Providencia burhodogranariea DSM 19968,1141662,K8W616,K8W616_9GAMM,EKT52882.1,K8VXF1,K8VXF1_9GAMM,EKT52883.1,15589.0,15789.0,False,15793.0,16203.0,True,-4,0.9
Providencia heimbachae ATCC 35613,1354272,A0A1B7JV38,A0A1B7JV38_9GAMM,OAT51758.1,A0A1B7JV10,A0A1B7JV10_9GAMM,OAT51757.1,8938.0,9138.0,True,8524.0,8937.0,False,-1,0.9
Providencia rettgeri,587,A0A1J0EDK0,A0A1J0EDK0_PRORE,AVL73222.1,A0A1J0ED38,A0A1J0ED38_PRORE,AVL73221.1,1223872.0,1224072.0,True,1223461.0,1223871.0,False,-1,0.9
Pectobacterium wasabiae CFBP 3304,1175631,A0A1D7YYB0,A0A1D7YYB0_9GAMM,AOR62628.1,A0A1D7YYK9,A0A1D7YYK9_9GAMM,AOR62627.1,1124711.0,1124923.0,True,1124264.0,1124677.0,False,-34,0.9
Pectobacterium sp. SS95,2108399,A0A2T3VY76,A0A2T3VY76_9GAMM,PTA64621.1,A0A2T3VYA4,A0A2T3VYA4_9GAMM,PTA64620.1,9620.0,9832.0,True,9174.0,9587.0,False,-33,0.9
Pectobacterium sp. (strain SCC3193),1905730,A0A0H3I897,A0A0H3I897_PECSS,AFI92190.1,A0A0H3IDR3,A0A0H3IDR3_PECSS,AFI92189.1,4471910.0,4472122.0,True,4471463.0,4471876.0,False,-34,0.9
Pectobacterium polaris,2042057,A0A093UPL2,A0A093UPL2_9GAMM,KFX10198.1,A0A093SBF6,A0A093SBF6_9GAMM,KFX10199.1,15231.0,15443.0,False,15474.0,15887.0,True,-31,0.9
Pectobacterium parmentieri (strain WPP163) (Pectobacterium wasabiae (strain WPP163)),561231,D0KAP8,D0KAP8_PECPW,ACX89704.1,D0KAP7,D0KAP7_PECPW,ACX89703.1,4396420.0,4396632.0,True,4395973.0,4396386.0,False,-34,0.9
Pectobacterium carotovorum subsp. odoriferum,78398,A0A094U775,A0A094U775_PECCA,KGA39473.1,A0A094RY92,A0A094RY92_PECCA,KGA39474.1,21224.0,21436.0,False,21467.0,21880.0,True,-31,0.9
Pectobacterium carotovorum subsp. carotovorum UGC32,1267544,A0A0J5XIY1,A0A0J5XIY1_PECCC,KML64696.1,A0A0J6AFD8,A0A0J6AFD8_PECCC,KML64695.1,9593.0,9805.0,True,9152.0,9562.0,False,-31,0.9
Pectobacterium carotovorum subsp. carotovorum PCC21,1218933,J7KXC8,J7KXC8_PECCC,AFR05186.1,J7L183,J7L183_PECCC,AFR05185.1,4305908.0,4306120.0,True,4305464.0,4305877.0,False,-31,0.9
Pectobacterium carotovorum subsp. carotovorum (strain PC1),561230,C6DFS0,C6DFS0_PECCP,ACT14809.1,C6DFR9,MSCL_PECCP,ACT14808.1,4293887.0,4294099.0,True,4293443.0,4293856.0,False,-31,0.9
Pectobacterium carotovorum subsp. brasiliense,180957,A0A086EFY3,A0A086EFY3_PECCA,KFF69709.1,A0A086ESP6,A0A086ESP6_PECCA,KFF69710.1,221019.0,221231.0,False,221262.0,221675.0,True,-31,0.9
Pectobacterium carotovorum subsp. actinidiae,1507808,A0A1V2QYC4,A0A1V2QYC4_PECCA,ONK01370.1,A0A1V2QYK4,A0A1V2QYK4_PECCA,ONK01371.1,15229.0,15441.0,False,15465.0,15884.0,True,-24,0.9
Pectobacterium carotovorum (Erwinia carotovora),554,A0A1M5V836,A0A1M5V836_PECCA,SHH71442.1,A0A1M5V918,A0A1M5V918_PECCA,SHH71423.1,9551.0,9763.0,True,9107.0,9520.0,False,-31,0.9
Pectobacterium betavasculorum,55207,A0A093TSQ7,A0A093TSQ7_9GAMM,KFW99022.1,A0A093SQS4,A0A093SQS4_9GAMM,KFW99021.1,9692.0,9904.0,True,9251.0,9661.0,False,-31,0.9
Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) (Erwinia carotovora subsp. atroseptica),218491,Q6CZZ7,Q6CZZ7_PECAS,CAG76901.1,Q6CZZ8,MSCL_PECAS,CAG76900.1,4487256.0,4487468.0,True,4486815.0,4487225.0,False,-31,0.9
Pantoea wallisii,1076551,A0A1X1D097,A0A1X1D097_9GAMM,ORM70122.1,A0A1X1D0C7,A0A1X1D0C7_9GAMM,ORM70123.1,15881.0,16099.0,False,16117.0,16527.0,True,-18,0.9
Pantoea vagans,470934,A0A0U3UKL3,A0A0U3UKL3_9GAMM,ALV90816.1,A0A0U3UV66,A0A0U3UV66_9GAMM,ALV90817.1,201714.0,201932.0,False,201949.0,202359.0,True,-17,0.9
Pantoea theicola,1458355,A0A2K1Q4S8,A0A2K1Q4S8_9GAMM,PNS10023.1,A0A2K1Q4R6,A0A2K1Q4R6_9GAMM,PNS10024.1,17498.0,17755.0,False,17763.0,18173.0,True,-8,0.9
Mangrovibacter phragmitis,1691903,A0A1B7L4X5,A0A1B7L4X5_9ENTR,OAT77336.1,A0A1B7L4Q6,A0A1B7L4Q6_9ENTR,OAT77337.1,16144.0,16389.0,False,16361.0,16774.0,True,28,0.9
Limnobaculum parvum,2172103,A0A2Y9TXS8,A0A2Y9TXS8_9ENTR,AWH88495.1,A0A2Y9TYN8,A0A2Y9TYN8_9ENTR,AWH88494.1,1844705.0,1844911.0,True,1844290.0,1844691.0,False,-14,0.9
Providencia stuartii,588,A0A1S1HQH2,A0A1S1HQH2_PROST,OHT23661.1,A0A1S1HTI3,A0A1S1HTI3_PROST,OHT23660.1,9540.0,9740.0,True,9126.0,9536.0,False,-4,0.9
Escherichia sp. MOD1-EC5451,2093873,A0A2T3BHM3,A0A2T3BHM3_9ESCH,PSS38563.1,A0A2T3BHK2,A0A2T3BHK2_9ESCH,PSS38562.1,9499.0,9717.0,True,9092.0,9502.0,False,3,0.9
Escherichia fergusonii ECD227,981367,F0JTF8,F0JTF8_ESCFE,EGC96719.1,F0JTF7,F0JTF7_ESCFE,EGC96718.1,3344194.0,3344412.0,True,3343787.0,3344197.0,False,3,0.9
Escherichia sp. 4726-5,2137852,A0A2T3TRD7,A0A2T3TRD7_9ESCH,PSZ12347.1,A0A2T3TRI3,A0A2T3TRI3_9ESCH,PSZ12348.1,16677.0,16895.0,False,16892.0,17302.0,True,3,0.9
Escherichia sp. KTE114,1169321,S0UAT2,S0UAT2_9ESCH,EOU46352.1,S0TU50,S0TU50_9ESCH,EOU46353.1,346501.0,346719.0,False,346716.0,347126.0,True,3,0.9
Escherichia sp. KTE159,1182732,S1L5W1,S1L5W1_9ESCH,EOW59727.1,S1LUT7,S1LUT7_9ESCH,EOW59726.1,11262.0,11480.0,True,10855.0,11265.0,False,3,0.9
Escherichia sp. KTE31,1169349,S0WVZ2,S0WVZ2_9ESCH,EOU84263.1,S0XER1,S0XER1_9ESCH,EOU84264.1,338658.0,338876.0,False,338873.0,339283.0,True,3,0.9
Escherichia sp. KTE52,1182659,S1C9M9,S1C9M9_9ESCH,EOV46522.1,S1BZ34,S1BZ34_9ESCH,EOV46521.1,9688.0,9906.0,True,9281.0,9691.0,False,3,0.9
Ewingella americana ATCC 33852,910964,A0A085G4W7,A0A085G4W7_9GAMM,KFC78762.1,A0A085G4W6,A0A085G4W6_9GAMM,KFC78761.1,9410.0,9610.0,True,8942.0,9358.0,False,-52,0.9
Hafnia paralvei,546367,A0A2A2MBY3,A0A2A2MBY3_9GAMM,PAV96238.1,A0A2A2MBI3,A0A2A2MBI3_9GAMM,PAV96237.1,11306.0,11482.0,True,10811.0,11218.0,False,-88,0.9
Franconibacter pulveris,435910,A0A0J8VJU8,A0A0J8VJU8_9ENTR,KMV32745.1,A0A0J8VHS9,A0A0J8VHS9_9ENTR,KMV32746.1,384816.0,385022.0,False,385019.0,385423.0,True,3,0.9
Gibbsiella quercinecans,929813,A0A250B256,A0A250B256_9ENTR,ATA20227.1,A0A250B1W3,A0A250B1W3_9ENTR,ATA20228.1,2913298.0,2913504.0,False,2913557.0,2913973.0,True,-53,0.9
Haemophilus influenzae,727,A0A1Q5Y1W1,A0A1Q5Y1W1_HAEIF,OKQ00942.1,A0A1Q5Y1P4,A0A1Q5Y1P4_HAEIF,OKQ00742.1,17126.0,17371.0,True,6360.0,6746.0,False,-10380,0.9
Hafnia alvei,569,A0A0K0HN09,A0A0K0HN09_HAFAL,PNK96707.1,A0A1C6Z3J1,A0A1C6Z3J1_HAFAL,PNK96706.1,607600.0,607779.0,True,607104.0,607511.0,False,-89,0.9
Hafnia alvei ATCC 13337,910996,A0A085H218,A0A085H218_HAFAL,KFC90013.1,A0A085H217,A0A085H217_HAFAL,KFC90012.1,9584.0,9763.0,True,9087.0,9494.0,False,-90,0.9
Hafnia alvei ATCC 51873,1002364,G9Y321,G9Y321_HAFAL,EHM46428.1,G9Y320,G9Y320_HAFAL,EHM46427.1,11007.0,11183.0,True,10512.0,10919.0,False,-88,0.9
Escherichia fergusonii (strain ATCC 35469 / DSM 13698 / CDC 0568-73),585054,B7LRQ8,B7LRQ8_ESCF3,CAQ90755.1,B7LRQ7,MSCL_ESCF3,CAQ90754.1,3354523.0,3354741.0,True,3354116.0,3354526.0,False,3,0.9
Escherichia fergusonii,564,A0A2S7SE48,A0A2S7SE48_ESCFE,PQI99499.1,A0A2S7SDK6,A0A2S7SDK6_ESCFE,PQI99498.1,9686.0,9904.0,True,9279.0,9689.0,False,3,0.9
Escherichia coli chi7122,475609,J7RLN4,J7RLN4_ECOLX,CCK48595.1,J7RXI0,J7RXI0_ECOLX,CCK48594.1,3516697.0,3516915.0,True,3516290.0,3516700.0,False,3,0.9
Escherichia coli Xuzhou21,741093,A0A0F6C9P7,A0A0F6C9P7_ECOLX,AFJ30953.1,A0A0F6C9P6,A0A0F6C9P6_ECOLX,AFJ30952.1,4100703.0,4100921.0,True,4100296.0,4100706.0,False,3,0.9
Escherichia coli UMEA 3718-1,1281269,T9SET2,T9SET2_ECOLX,EQZ97746.1,T9TAI3,T9TAI3_ECOLX,EQZ97745.1,11721.0,11939.0,True,11314.0,11724.0,False,3,0.9
Escherichia coli UMEA 3212-1,1281218,T9CJ33,T9CJ33_ECOLX,EQY15294.1,T9CA23,T9CA23_ECOLX,EQY15293.1,14575.0,14793.0,True,14168.0,14578.0,False,3,0.9
Escherichia coli UMEA 3200-1,1281213,T9AXW6,T9AXW6_ECOLX,EQX84669.1,T9A109,T9A109_ECOLX,EQX84668.1,10141.0,10359.0,True,9734.0,10144.0,False,3,0.9
Escherichia coli TA447,656447,A0A1X3IUF9,A0A1X3IUF9_ECOLX,OSK90329.1,A0A1X3IUD6,A0A1X3IUD6_ECOLX,OSK90328.1,9702.0,9920.0,True,9295.0,9705.0,False,3,0.9
Escherichia coli TA249,656441,A0A1X3LPI0,A0A1X3LPI0_ECOLX,OSL81793.1,A0A1X3LPR3,A0A1X3LPR3_ECOLX,OSL81792.1,9914.0,10132.0,True,9507.0,9917.0,False,3,0.9
Escherichia coli TA054,656433,A0A1X3LCA5,A0A1X3LCA5_ECOLX,OSL68516.1,A0A1X3LCI1,A0A1X3LCI1_ECOLX,OSL68515.1,9903.0,10121.0,True,9496.0,9906.0,False,3,0.9
Escherichia coli PCN033,1001989,A0A0G3KCM7,A0A0G3KCM7_ECOLX,AKK50122.1,A0A0G3KEK6,A0A0G3KEK6_ECOLX,AKK50121.1,3649839.0,3650057.0,True,3649432.0,3649842.0,False,3,0.9
Escherichia coli O83:H1 (strain NRG 857C / AIEC),685038,A0A0H3EQA5,A0A0H3EQA5_ECO8N,ADR28669.1,A0A0H3EME9,A0A0H3EME9_ECO8N,ADR28668.1,3455769.0,3455987.0,True,3455359.0,3455772.0,False,3,0.9
Escherichia coli O78:H11 (strain H10407 / ETEC),316401,E3PKX5,E3PKX5_ECOH1,CBJ03044.1,E3PKX4,E3PKX4_ECOH1,CBJ03043.1,3824908.0,3825126.0,True,3824501.0,3824911.0,False,3,0.9
Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),199310,A0A0H2VBN5,A0A0H2VBN5_ECOL6,AAN82490.1,Q8FD11,MSCL_ECOL6,AAN82489.1,3869807.0,3870025.0,True,3869397.0,3869810.0,False,3,0.9
Escherichia coli O69:H11 str. 08-4661,1446753,A0A027ZMM0,A0A027ZMM0_ECOLX,EZE00272.1,A0A027ZN07,A0A027ZN07_ECOLX,EZE00271.1,9532.0,9750.0,True,9125.0,9535.0,False,3,0.9
Escherichia coli O45:K1 (strain S88 / ExPEC),585035,B7MCQ7,B7MCQ7_ECO45,CAR04896.1,B7MCQ6,MSCL_ECO45,CAR04895.1,3643946.0,3644164.0,True,3643536.0,3643949.0,False,3,0.9
Escherichia coli O26:H11,244319,A0A0A8UKL4,A0A0A8UKL4_ECOLX,CEK07304.1,A0A0A8UF18,A0A0A8UF18_ECOLX,CEK07303.1,10052.0,10270.0,True,9645.0,10055.0,False,3,0.9
Hafnia alvei FB1,1453496,A0A097R6Z6,A0A097R6Z6_HAFAL,AIU74482.1,A0A097R6Z1,A0A097R6Z1_HAFAL,AIU74481.1,4425068.0,4425247.0,True,4424571.0,4424978.0,False,-90,0.9
Halomonas sp. A3H3,1346287,T2L6D2,T2L6D2_9GAMM,CDG52781.1,T2L696,T2L696_9GAMM,CDG52761.1,229.0,378.0,True,8768.0,9295.0,False,-8390,0.9
Leminorella grimontii ATCC 33999 = DSM 5078,1005999,A0A085HD01,A0A085HD01_9GAMM,KFC93846.1,A0A085HD09,A0A085HD09_9GAMM,KFC93854.1,529918.0,530139.0,False,539601.0,540011.0,True,-9462,0.9
Leclercia adecarboxylata,83655,A0A2I1ZNB2,A0A2I1ZNB2_9ENTR,PLA68575.1,A0A2I1ZN59,A0A2I1ZN59_9ENTR,PLA68574.1,9610.0,9825.0,True,9199.0,9609.0,False,-1,0.9
Kosakonia cowanii JCM 10956 = DSM 18146,1300165,A0A1U7E1N0,A0A1U7E1N0_9ENTR,APZ05358.1,A0A1U7E1R7,A0A1U7E1R7_9ENTR,APZ05359.1,2123632.0,2123883.0,False,2123837.0,2124250.0,True,46,0.9
Kosakonia oryzae,497725,A0A1T5H1M1,A0A1T5H1M1_9ENTR,SKC14545.1,A0A1T5H1K7,A0A1T5H1K7_9ENTR,SKC14552.1,1885287.0,1885499.0,False,1885500.0,1885913.0,True,-1,0.9
Kosakonia oryzendophytica,1005665,A0A1C4EE08,A0A1C4EE08_9ENTR,SCC41732.1,A0A1C4EE18,A0A1C4EE18_9ENTR,SCC41742.1,17166.0,17378.0,False,17375.0,17788.0,True,3,0.9
Kosakonia oryziphila,1005667,A0A1C4GE32,A0A1C4GE32_9ENTR,SCC66460.1,A0A1C4GE73,A0A1C4GE73_9ENTR,SCC66466.1,15704.0,15910.0,False,15911.0,16324.0,True,-1,0.9
Kosakonia radicincitans DSM 16656,1177180,A0A1V0L895,A0A1V0L895_9ENTR,ARD58781.1,A0A1V0L873,A0A1V0L873_9ENTR,ARD58782.1,453890.0,454102.0,False,454103.0,454516.0,True,-1,0.9
Kosakonia sacchari SP1,1235834,W6J5E5,W6J5E5_9ENTR,AHJ76342.1,W6J5I4,W6J5I4_9ENTR,AHJ76343.1,439241.0,439453.0,False,439450.0,439863.0,True,3,0.9
Leclercia sp. LK8,1628210,A0A0J6Q847,A0A0J6Q847_9ENTR,KMN63762.1,A0A0J6M8T5,A0A0J6M8T5_9ENTR,KMN63761.1,9617.0,9859.0,True,9233.0,9643.0,False,26,0.9
Klebsiella aerogenes (Enterobacter aerogenes),548,A0A0B2HS76,A0A0B2HS76_KLEAE,KTH78267.1,A0A094XL10,A0A094XL10_KLEAE,KTH78268.1,16553.0,16768.0,False,16769.0,17179.0,True,-1,0.9
Leclercia sp. LSNIH4,1920117,A0A2S4WQ63,A0A2S4WQ63_9ENTR,POW66312.1,A0A2S4WQ59,A0A2S4WQ59_9ENTR,POW66311.1,9558.0,9803.0,True,9174.0,9590.0,False,32,0.9
Lelliottia amnigena (Enterobacter amnigenus),61646,A0A1A9FFG1,A0A1A9FFG1_LELAM,ANG94448.1,A0A1A9FH32,A0A1A9FH32_LELAM,ANG94447.1,4173438.0,4173653.0,True,4173027.0,4173437.0,False,-1,0.9
Lelliottia amnigena CHS 78,1439331,A0A066NZZ5,A0A066NZZ5_LELAM,KDM53828.1,A0A066P0T8,A0A066P0T8_LELAM,KDM53827.1,11256.0,11471.0,True,10842.0,11255.0,False,-1,0.9
