Entry	Entry name	Organism	Organism ID
V5G989	V5G989_9LACO	Lactobacillus crispatus EM-LC1	1328863
A0A084GXP2	A0A084GXP2_BACID	Bacillus indicus	246786
A0A2U9P2J8	A0A2U9P2J8_STRAS	Streptomyces actuosus	1885
A0A1G8P8J2	A0A1G8P8J2_9ACTN	Nonomuraea jiangxiensis	633440
A0A255X0D0	A0A255X0D0_9PSED	Pseudomonas mandelii	75612
A0A1B4YS42	A0A1B4YS42_RHILI	Rhizobium loti (Mesorhizobium loti)	381
A0A1H3MX10	A0A1H3MX10_9RHOB	Jannaschia faecimaris	1244108
A0A2I7YGT1	A0A2I7YGT1_9PSEU	Actinoalloteichus sp. AHMU CJ021	2072503
A0A0G1C653	A0A0G1C653_9BACT	Candidatus Magasanikbacteria bacterium GW2011_GWA2_42_32	1619039
A0A1J0UFF7	A0A1J0UFF7_9MYCO	Mycobacterium sp. WY10	1920667
E4TFW5	E4TFW5_CALNY	Calditerrivibrio nitroreducens (strain DSM 19672 / NBRC 101217 / Yu37-1)	768670
A0A0G4CTJ0	A0A0G4CTJ0_BACTO	Bacillus thuringiensis subsp. tolworthi	1442
A0A1A5I2Y8	A0A1A5I2Y8_RHILI	Rhizobium loti (Mesorhizobium loti)	381
A0A1H4IGM2	A0A1H4IGM2_PSEPA	Pseudomonas panacis	307251
A0A246IVJ4	A0A246IVJ4_9BURK	Roseateles terrae	431060
B1FZ03	B1FZ03_9BURK	Paraburkholderia graminis C4D1M	396598
E8U0B9	E8U0B9_ALIDB	Alicycliphilus denitrificans (strain DSM 18852 / JCM 14587 / BC)	596153
A0A290XH51	A0A290XH51_9GAMM	Luteimonas sp. 100111	2006110
A0A1X4P303	A0A1X4P303_9RHOB	Marivita cryptomonadis	505252
A0A0A2DIP0	A0A0A2DIP0_9CORY	Corynebacterium auriscanis	99807
A0A1E7V7E4	A0A1E7V7E4_9BURK	Duganella sp. HH105	1781067
A0A1G9L099	A0A1G9L099_9MICC	Arthrobacter sp. ov407	1761748
A0A1G6RGG6	A0A1G6RGG6_9SPHN	Sphingomonas sp. YR710	1882773
J3FVU0	J3FVU0_9PSED	Pseudomonas sp. GM24	1144326
F1VX71	F1VX71_9BURK	Oxalobacteraceae bacterium IMCC9480	937450
Z4WW32	Z4WW32_9ACTN	Atopobium sp. BS2	936550
A0A1F5ELL5	A0A1F5ELL5_9BACT	Candidatus Campbellbacteria bacterium RIFCSPLOWO2_01_FULL_34_15	1797579
A0A0X8D8I6	A0A0X8D8I6_9DEIN	Thermus parvatiensis	456163
A0A1W6KI09	A0A1W6KI09_9RHIZ	Rhizobium sp. CIAT894	2020312
A0A1I3I897	A0A1I3I897_9BURK	Collimonas sp. OK307	1801620
A0A1A2CTV7	A0A1A2CTV7_9MYCO	Mycobacterium sp. 852002-51759_SCH5129042	1856866
A0A1G8FIK0	A0A1G8FIK0_9RHOO	Propionivibrio dicarboxylicus	83767
G2SI76	G2SI76_RHOMR	Rhodothermus marinus SG0.5JP17-172	762570
A0A0M8V2G8	A0A0M8V2G8_9ACTN	Streptomyces sp. AS58	1519489
A0A166QSC3	A0A166QSC3_9ACTN	Frankia sp. EI5c	683316
A0A1G1SLT9	A0A1G1SLT9_9BACL	Exiguobacterium sp. SH31	1843183
A0A0R2NYD8	A0A0R2NYD8_9LACO	Lactobacillus fabifermentans DSM 21115	1413187
C6Z6N8	C6Z6N8_9BACE	Bacteroides sp. 4_3_47FAA	457394
U1QIY6	U1QIY6_9ACTO	Actinomyces johnsonii F0542	1321818
R6ALH8	R6ALH8_9BACE	Bacteroides stercoris CAG:120	1263053
A0A0C1F6I9	A0A0C1F6I9_9FLAO	Chryseobacterium jeonii	266749
A0A1Y2N648	A0A1Y2N648_PSEAH	Pseudonocardia autotrophica (Amycolata autotrophica) (Nocardia autotrophica)	2074
A0A011J8C9	A0A011J8C9_9GAMM	Acinetobacter sp. 723929	1310711
A0A1W6DVD5	A0A1W6DVD5_9MICO	Cellulosimicrobium sp. TH-20	1980001
A7A2Y1	A7A2Y1_BIFAD	Bifidobacterium adolescentis L2-32	411481
N8WMM1	N8WMM1_9GAMM	Acinetobacter sp. NIPH 899	1217710
A0A259CM37	A0A259CM37_9HELI	Sulfuricurvum sp. 17-40-25	1970439
A0A290N2I1	A0A290N2I1_9FLAO	Elizabethkingia anophelis R26	1246994
A0A250LUV0	A0A250LUV0_FUSVA	Fusobacterium varium	856
A0A238KXR7	A0A238KXR7_9RHOB	Maliponia aquimaris	1673631
G7CCJ0	G7CCJ0_MYCT3	Mycobacterium thermoresistibile (strain ATCC 19527 / DSM 44167 / CIP 105390 / JCM 6362 / NCTC 10409 / 316)	1078020
A0A2G5RGP0	A0A2G5RGP0_9CAUL	Caulobacter sp. X	2048901
U2G2E5	U2G2E5_9PROT	Campylobacter concisus UNSW1	1242967
A0A0J5PCR1	A0A0J5PCR1_9LACT	Fructobacillus sp. EFB-N1	1658766
A0A0L1LLD3	A0A0L1LLD3_PSESX	Pseudomonas syringae	317
A0A1E5HF28	A0A1E5HF28_9ENTE	Enterococcus ureilyticus	1131292
A0A0J7Z485	A0A0J7Z485_STRVR	Streptomyces viridochromogenes	1938
A0A085VMP5	A0A085VMP5_PSESX	Pseudomonas syringae	317
A0A1E3KXT4	A0A1E3KXT4_9BACL	Paenibacillus sp. TI45-13ar	1886670
A0A0L8JLM6	A0A0L8JLM6_STRVR	Streptomyces viridochromogenes	1938
A0A1F6FFB5	A0A1F6FFB5_9BACT	Candidatus Kaiserbacteria bacterium RIFCSPLOWO2_12_FULL_45_26	1798525
