Entry	Entry name	Organism	Organism ID
A0A0F4PF56	A0A0F4PF56_9VIBR	Vibrio neptunius	170651
D6JG74	D6JG74_ECOLX	Escherichia coli B354	550677
A0A161XTM2	A0A161XTM2_9GAMM	Pseudoalteromonas luteoviolacea DSM 6061	1365250
A0A177KFP8	A0A177KFP8_9PSED	Pseudomonas monteilii	76759
A0A2N1IKD4	A0A2N1IKD4_9PSED	Pseudomonas monteilii	76759
A0A1V3IJW0	A0A1V3IJW0_9PAST	Rodentibacter mrazii	1908257
D2BXG3	D2BXG3_DICZ5	Dickeya zeae (strain Ech586) (Dickeya dadantii (strain Ech586))	590409
A0A0E2KZF8	A0A0E2KZF8_ECOU3	Escherichia coli (strain UMEA 3162-1)	1281200
A0A285YU84	A0A285YU84_9PSED	Pseudomonas sp. LAIL14HWK12:I8	1265485
A0A2N8BAN5	A0A2N8BAN5_9PSED	Pseudomonas sp. FW305-25	2070636
B7MCQ7	B7MCQ7_ECO45	Escherichia coli O45:K1 (strain S88 / ExPEC)	585035
A0A1K1S758	A0A1K1S758_9PSED	Pseudomonas sp. NFACC04-2	1566242
A0A099LWC0	A0A099LWC0_9VIBR	Vibrio navarrensis	29495
A0A2A2GWI3	A0A2A2GWI3_9GAMM	Arsenophonus sp. ENCA	1987579
A0A0P9PZ51	A0A0P9PZ51_PSEA0	Pseudomonas amygdali pv. dendropanacis	235272
A0A1B7JV38	A0A1B7JV38_9GAMM	Providencia heimbachae ATCC 35613	1354272
A0A0W8JDG6	A0A0W8JDG6_9VIBR	Vibrio sp. MEBiC08052	1761910
A6V0B9	A6V0B9_PSEA7	Pseudomonas aeruginosa (strain PA7)	381754
A0A0T6V9X2	A0A0T6V9X2_9PSED	Pseudomonas sp. TTU2014-105ASC	1729726
A0A0E1M6K7	A0A0E1M6K7_ECOLX	Escherichia coli 1303	745156
A0A2U9U5H8	A0A2U9U5H8_9ENTR	Citrobacter youngae	133448
A0A239YDI8	A0A239YDI8_9PAST	Haemophilus pittmaniae	249188
A0A2S7MXE5	A0A2S7MXE5_9BACI	Bacillaceae bacterium EAG3	2064768
A0A0M9AXI8	A0A0M9AXI8_9PSED	Pseudomonas sp. 655	1705718
S2F163	S2F163_9PSED	Pseudomonas sp. G5(2012)	1268068
A0A1F2KC55	A0A1F2KC55_9ENTR	Salmonella sp. HMSC13B08	1581094
A0A221ID70	A0A221ID70_9GAMM	Pseudoalteromonas espejiana DSM 9414	1314869
A0A0Q5EEI8	A0A0Q5EEI8_9PSED	Pseudomonas sp. Leaf127	1736267
A0A0N0VVU5	A0A0N0VVU5_PSEAQ	Pseudomonas amygdali pv. sesami (Pseudomonas syringae pv. sesami)	86841
A0A0Q8NPK2	A0A0Q8NPK2_9PSED	Pseudomonas sp. Root71	1736593
A0A2N1HBW3	A0A2N1HBW3_9GAMM	Colwellia sp. Bg11-28	2058305
A0A0X4EGH4	A0A0X4EGH4_9ENTR	Enterobacter cloacae complex sp. GN04363	1870955
A0A1K2CIP5	A0A1K2CIP5_9PSED	Pseudomonas sp. NFPP09	1566211
A0A2R7MTL4	A0A2R7MTL4_9GAMM	Aeromonas sp. HMWF017	2056853
A0A0F6LM44	A0A0F6LM44_VIBPH	Vibrio parahaemolyticus 863	1288784
A0A2S4S6D5	A0A2S4S6D5_9ENTR	Enterobacter cloacae complex sp. ECNIH12	2080660
A0A1V3L7A2	A0A1V3L7A2_9PAST	Rodentibacter ratti	1906745
A0A1V3JSR5	A0A1V3JSR5_9PAST	Rodentibacter myodis	1907939
A0A1V3JFH5	A0A1V3JFH5_9PAST	Rodentibacter genomosp. 2	1908266
A0A1V3IUC1	A0A1V3IUC1_9PAST	Rodentibacter ratti	1906745
A0A1V3KPN4	A0A1V3KPN4_9PAST	Rodentibacter heylii	1906744
A0A1V3KDC0	A0A1V3KDC0_9PAST	Rodentibacter heylii	1906744
A0A1V3KJZ3	A0A1V3KJZ3_9PAST	Rodentibacter heylii	1906744
A0A1V3J4Q9	A0A1V3J4Q9_9PAST	Rodentibacter genomosp. 1	1908264
A0A1V3IHN4	A0A1V3IHN4_9PAST	Rodentibacter rarus	1908260
A0A1V3IAF8	A0A1V3IAF8_9PAST	Rodentibacter heidelbergensis	1908258
A0A1V3KVT3	A0A1V3KVT3_9PAST	Rodentibacter heylii	1906744
A0A2D8P1J0	A0A2D8P1J0_9GAMM	Salinicola sp.	1978524
A0A2X2KG04	A0A2X2KG04_SERMA	Serratia marcescens	615
A0A2W6B4A6	A0A2W6B4A6_PSEST	Pseudomonas stutzeri (Pseudomonas perfectomarina)	316
A0A2S4GAJ8	A0A2S4GAJ8_9PSED	Pseudomonas sp. MWU12-2534b	2071715
A0A220YVF7	A0A220YVF7_9GAMM	Azotobacter chroococcum	353
A0A136H4U6	A0A136H4U6_9GAMM	Neptuniibacter sp. Phe_28	1795871
A0A1H1Z7S4	A0A1H1Z7S4_9PSED	Pseudomonas oryzae	1392877
A0A2T5P8K9	A0A2T5P8K9_9PSED	Pseudomonas sp. TC-11	2161748
A0A1E3XSG9	A0A1E3XSG9_9PSED	Pseudomonas sp. BDAL1	1884210
A0A024KR02	A0A024KR02_ECOLX	Escherichia coli D6-113.11	1400022
A0A1Y5E3D5	A0A1Y5E3D5_COLPS	Colwellia psychrerythraea (Vibrio psychroerythus)	28229
A0A117KHH9	A0A117KHH9_9GAMM	Halomonas sp. 54_146	1635257
A0A2D5VRW4	A0A2D5VRW4_PSESP	Pseudomonas sp.	306
A0A1H2E4Q0	A0A1H2E4Q0_9PSED	Pseudomonas guangdongensis	1245526
A0A2D6J610	A0A2D6J610_PSESP	Pseudomonas sp.	306
A0A2M8J8S1	A0A2M8J8S1_PSESP	Pseudomonas sp.	306
A0A2D8A1W5	A0A2D8A1W5_PSESP	Pseudomonas sp.	306
A0A2D8IMQ3	A0A2D8IMQ3_PSESP	Pseudomonas sp.	306
A0A2E9AXE9	A0A2E9AXE9_PSESP	Pseudomonas sp.	306
A0A2X2E665	A0A2X2E665_PROMI	Proteus mirabilis	584
A0A2S4C045	A0A2S4C045_9PSED	Pseudomonas sp. MWU13-2860	2071714
A0A2X1QZF3	A0A2X1QZF3_9ENTR	Leclercia adecarboxylata	83655
D2TVJ7	D2TVJ7_9GAMM	Arsenophonus nasoniae (son-killer infecting Nasonia vitripennis)	638
A0A2X3ZLG2	A0A2X3ZLG2_NEICI	Neisseria cinerea	483
A0A222RK84	A0A222RK84_ENTCL	Enterobacter cloacae	550
A0A2U1TZH9	A0A2U1TZH9_9GAMM	Brenneria roseae subsp. roseae	1508506
A0A2X2CAZ2	A0A2X2CAZ2_9GAMM	Providencia rustigianii	158850
A0A239H594	A0A239H594_9PSED	Pseudomonas segetis	298908
A0A2E4U4S4	A0A2E4U4S4_HALSX	Halomonas sp.	1486246
A0A2G2BWA4	A0A2G2BWA4_HALSX	Halomonas sp.	1486246
P44588	ARFA_HAEIN	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71421
A0A2E6C8M0	A0A2E6C8M0_9EURY	Euryarchaeota archaeon	2026739
P36675	ARFA_ECOLI	Escherichia coli (strain K12)	83333
A0A2U8YFS4	A0A2U8YFS4_ECOLX	Escherichia coli O145 str. RM9872	1055544
A0A0I9SSI5	A0A0I9SSI5_9PSED	Pseudomonas sp. BICA1-14	1619235
A0A222QQW9	A0A222QQW9_ECOLX	Escherichia coli NCCP15648	1200752
A0A0A5JZ98	A0A0A5JZ98_9VIBR	Vibrio tubiashii	29498
A0A1Y5HWT3	A0A1Y5HWT3_OLEAN	Oleispira antarctica	188908
A0A2X2KZQ0	A0A2X2KZQ0_SHIDY	Shigella dysenteriae	622
A0A2Y9TXS8	A0A2Y9TXS8_9ENTR	Limnobaculum parvum	2172103
A0A2U9N8F8	A0A2U9N8F8_9PSED	Pseudomonas sp. R2A2	2213057
A0A258C7Q4	A0A258C7Q4_9ALTE	Alishewanella sp. 32-51-5	1970315
A0A2W5CZV8	A0A2W5CZV8_9PSED	Pseudomonas citronellolis	53408
A0A2E6K3V8	A0A2E6K3V8_PSESP	Pseudomonas sp.	306
A0A2G2LDW6	A0A2G2LDW6_HALSX	Halomonas sp.	1486246
A0A1D3I834	A0A1D3I834_NEIGO	Neisseria gonorrhoeae	485
A0A1B5F8P0	A0A1B5F8P0_9PSED	Pseudomonas sp. 22 E 5	1844093
A0A2G2E540	A0A2G2E540_COLSX	Colwellia sp.	56799
A0A2D5CGL3	A0A2D5CGL3_9GAMM	Pseudomonadaceae bacterium	1914538
A0A2D7N4G1	A0A2D7N4G1_9GAMM	Pseudoalteromonadaceae bacterium	2026783
A0A1Z9WVU8	A0A1Z9WVU8_9GAMM	Pseudoalteromonas sp. TMED43	1986613
A0A2X2TK10	A0A2X2TK10_9ENTR	Yokenella regensburgei	158877
A0A2U1TK84	A0A2U1TK84_9GAMM	Brenneria sp. CFCC 11842	2173106
A0A259NKB0	A0A259NKB0_9ALTE	Alishewanella sp. 34-51-39	1970316
A0A2D1GN78	A0A2D1GN78_9CAUD	Pseudoalteromonas phage J2-1	2041340
A0A1G9X2Z7	A0A1G9X2Z7_9PSED	Pseudomonas antarctica	219572
A0A290TW11	A0A290TW11_PSEO7	Pseudoalteromonas piscicida	43662
W5ITG4	W5ITG4_PSEUO	Pseudomonas sp. (strain M1)	95619
A0A023RF32	A0A023RF32_AERME	Aeromonas media WS	1208104
A0A0V8T0F5	A0A0V8T0F5_PSESD	Pseudomonas sp. (strain ADP)	47660
A0A1M7PA36	A0A1M7PA36_9PSED	Pseudomonas asturiensis	1190415
A0A237EXM3	A0A237EXM3_SHIBO	Shigella boydii	621
A0A0A6PP40	A0A0A6PP40_9GAMM	Candidatus Thiomargarita nelsonii	1003181
G7G8D8	G7G8D8_9GAMM	Pseudoalteromonas sp. BSi20495	386429
A0A2T9DWT6	A0A2T9DWT6_SALET	Salmonella enterica subsp. enterica serovar Give	46626
V9WZH6	V9WZH6_9PSED	Pseudomonas sp. FGI182	1259844
A0A1G8CX28	A0A1G8CX28_9PSED	Pseudomonas flavescens	29435
W0AVY7	W0AVY7_9ESCH	Escherichia albertii KF1	1440052
J2P2B9	J2P2B9_9PSED	Pseudomonas sp. GM25	1144327
V0YFN6	V0YFN6_ECOLX	Escherichia coli 908525	1268995
D4GCF0	D4GCF0_PANAM	Pantoea ananatis (strain LMG 20103)	706191
A0A237LB12	A0A237LB12_SHIBO	Shigella boydii	621
A0A0N8RN38	A0A0N8RN38_9PSED	Pseudomonas syringae pv. helianthi	251654
A0A2G5MAR3	A0A2G5MAR3_9PSED	Pseudomonas sp. 2995-1	1712679
A0A2K4LTH6	A0A2K4LTH6_9PSED	Pseudomonas sp. FW305-E2	2075558
A0A1D7YYB0	A0A1D7YYB0_9GAMM	Pectobacterium wasabiae CFBP 3304	1175631
A0A2U8FLW7	A0A2U8FLW7_9PAST	Actinobacillus porcitonsillarum	189834
A0A0C4WPZ1	A0A0C4WPZ1_9GAMM	Azotobacter chroococcum NCIMB 8003	1328314
E9TI55	E9TI55_ECOLX	Escherichia coli MS 117-3	749539
E2PE21	E2PE21_NEIPO	Neisseria polysaccharea ATCC 43768	546267
A0A0W0NIB4	A0A0W0NIB4_9PSED	Pseudomonas sp. ABAC21	1230462
A0A0C1Z365	A0A0C1Z365_9VIBR	Vibrio owensii CAIM 1854 = LMG 25443	1229493
A0A246GYV2	A0A246GYV2_9PSED	Pseudomonas sp. DrBHI1	2006091
A0A2S8E910	A0A2S8E910_SHIDY	Shigella dysenteriae	622
A0A2S8DCW0	A0A2S8DCW0_SHIDY	Shigella dysenteriae	622
A0A1V0L895	A0A1V0L895_9ENTR	Kosakonia radicincitans DSM 16656	1177180
A1S2T8	A1S2T8_SHEAM	Shewanella amazonensis (strain ATCC BAA-1098 / SB2B)	326297
A0A0S4HX35	A0A0S4HX35_9PSED	Pseudomonas sp. URMO17WK12:I11	1283291
A0A1Y3P155	A0A1Y3P155_9PSED	Pseudomonas caspiana	1451454
I8U5H5	I8U5H5_9ALTE	Alishewanella agri BL06	1195246
F9GNR2	F9GNR2_HAEHA	Haemophilus haemolyticus M19501	1028803
A0A0H3H2F0	A0A0H3H2F0_KLEOK	Klebsiella oxytoca (strain ATCC 8724 / DSM 4798 / JCM 20051 / NBRC 3318 / NRRL B-199 / KCTC 1686)	1006551
A0A0J8G3E6	A0A0J8G3E6_9PSED	Pseudomonas sp. KG01	1674920
A0A2A7PLZ6	A0A2A7PLZ6_LELAM	Lelliottia amnigena (Enterobacter amnigenus)	61646
A0A291CTY9	A0A291CTY9_9ENTR	Citrobacter werkmanii	67827
A0A2V3SK77	A0A2V3SK77_9GAMM	Pantoea sp. JKS000250	1938795
A0A0L5WYZ0	A0A0L5WYZ0_SALET	Salmonella enterica subsp. enterica serovar Johannesburg	913076
A0A2J9VKZ9	A0A2J9VKZ9_VIBMI	Vibrio mimicus	674
A0A0Q0E1J9	A0A0Q0E1J9_9PSED	Pseudomonas syringae pv. viburni	251703
A0A022PH28	A0A022PH28_PHOLU	Photorhabdus luminescens BA1	1393736
A0A0A5HXG7	A0A0A5HXG7_9VIBR	Vibrio sinaloensis	379097
A0A0V2DDS9	A0A0V2DDS9_SALCE	Salmonella enterica subsp. salamae serovar 56:z10:e,n,x str. 1369-73	1243604
S2KPD6	S2KPD6_HALAF	Halomonas anticariensis (strain DSM 16096 / FP35)	1121939
A0A1C4GE32	A0A1C4GE32_9ENTR	Kosakonia oryziphila	1005667
A0A2A5JNM3	A0A2A5JNM3_PSEO7	Pseudoalteromonas piscicida	43662
W1MG48	W1MG48_PSEAI	Pseudomonas aeruginosa VRFPA03	1350465
Q6CZZ7	Q6CZZ7_PECAS	Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) (Erwinia carotovora subsp. atroseptica)	218491
A0A1Z5I2X7	A0A1Z5I2X7_9GAMM	Colwellia marinimaniae	1513592
I2SU66	I2SU66_ECOLX	Escherichia coli 1.2264	869675
A0A094U1H9	A0A094U1H9_PROVU	Proteus vulgaris	585
A0A0F4QWS5	A0A0F4QWS5_9GAMM	Pseudoalteromonas rubra	43658
A0A0K9TDY7	A0A0K9TDY7_ECOLX	Escherichia coli M114	656416
J4TU61	J4TU61_9PAST	Haemophilus sputorum HK 2154	1078483
A0A1X2RFH4	A0A1X2RFH4_SALET	Salmonella enterica subsp. enterica serovar Rough O:d:1,7	1974323
A0A1X7QD83	A0A1X7QD83_9PSED	Pseudomonas sp. NFIX51	1566187
A0A220RER6	A0A220RER6_9GAMM	Halomonas sp. N3-2A	2014541
L0MKL3	L0MKL3_9GAMM	Serratia sp. FGI94	671990
A0A0Q8A5F1	A0A0Q8A5F1_9PSED	Pseudomonas sp. Root562	1736561
T2L6D2	T2L6D2_9GAMM	Halomonas sp. A3H3	1346287
A0A1S1BT72	A0A1S1BT72_9PSED	Pseudomonas sp. HMSC059F05	1715166
A0A1V2J0Z2	A0A1V2J0Z2_9PSED	Pseudomonas gessardii	78544
E0J754	E0J754_ECOLW	Escherichia coli (strain ATCC 9637 / CCM 2024 / DSM 1116 / NCIMB 8666 / NRRL B-766 / W)	566546
H2IS04	H2IS04_RAHAC	Rahnella aquatilis (strain ATCC 33071 / DSM 4594 / JCM 1683 / NBRC 105701 / NCIMB 13365 / CIP 78.65)	745277
A0A172Z8V9	A0A172Z8V9_9PSED	Pseudomonas antarctica	219572
A0A1V9UAF9	A0A1V9UAF9_9PSED	Pseudomonas sp. Bc-h	1943632
A0A2V4JH10	A0A2V4JH10_9PSED	Pseudomonas sp. MB-090624	2213078
W9SX46	W9SX46_9PSED	Pseudomonas sp. BAY1663	1439940
A0A2N1C2E6	A0A2N1C2E6_9GAMM	Colwellia sp. 75C3	888425
A0A2A7M0Y5	A0A2A7M0Y5_ECOLX	Escherichia coli	562
J7QHW8	J7QHW8_ECOLX	Escherichia coli	562
W8TUP5	W8TUP5_ECOLX	Escherichia coli	562
A0A0D8WFZ0	A0A0D8WFZ0_ECOLX	Escherichia coli	562
A0A2T2XVS4	A0A2T2XVS4_9ENTR	Kluyvera ascorbata	51288
A0A1X0VXE8	A0A1X0VXE8_9GAMM	Rouxiella silvae	1646373
A0A1F0DQD5	A0A1F0DQD5_9NEIS	Neisseria sp. HMSC056A03	1739544
A0A0P8WFR5	A0A0P8WFR5_PSEFL	Pseudomonas fluorescens	294
A0A1T3AA69	A0A1T3AA69_PSEFL	Pseudomonas fluorescens	294
A0A0N9WGK8	A0A0N9WGK8_PSEFL	Pseudomonas fluorescens	294
A0A0J5P6Y9	A0A0J5P6Y9_9PAST	Muribacter muris	67855
A0A240CCB7	A0A240CCB7_SERFI	Serratia ficaria	61651
L1M356	L1M356_PSEPU	Pseudomonas putida CSV86	1005395
Q3ICZ1	Q3ICZ1_PSEHT	Pseudoalteromonas haloplanktis (strain TAC 125)	326442
A0A293PXX5	A0A293PXX5_PSEFL	Pseudomonas fluorescens	294
A0A0P9J5U0	A0A0P9J5U0_9PSED	Pseudomonas coronafaciens pv. atropurpurea	129135
A0A1W5DS51	A0A1W5DS51_9GAMM	Serratia proteamaculans	28151
A0A2I0FQ17	A0A2I0FQ17_9GAMM	Enterobacterales bacterium CwR94	2025587
A0A2T3NMX7	A0A2T3NMX7_9GAMM	Photobacterium sanctipauli	1342794
A0A093UPL2	A0A093UPL2_9GAMM	Pectobacterium polaris	2042057
A0A2T3X576	A0A2T3X576_9ENTR	Kluyvera sp. Nf5	2116543
A0A1M6XDR9	A0A1M6XDR9_9PSED	Pseudomonas punonensis	1220495
A0A0F9QGE9	A0A0F9QGE9_9ZZZZ	marine sediment metagenome	412755
A0A1V3JBD1	A0A1V3JBD1_9PAST	Rodentibacter genomosp. 2	1908266
A0A1V3JWC8	A0A1V3JWC8_9PAST	Rodentibacter sp. Ppn85	1908525
A0A1V3K4Z5	A0A1V3K4Z5_9PAST	Rodentibacter pneumotropicus	758
A0A1V3J565	A0A1V3J565_9PAST	Rodentibacter trehalosifermentans	1908263
A0A0F9YZ09	A0A0F9YZ09_9ZZZZ	marine sediment metagenome	412755
A0A0F9KGG2	A0A0F9KGG2_9ZZZZ	marine sediment metagenome	412755
W1WLF6	W1WLF6_9ZZZZ	human gut metagenome	408170
A0A1U7E1N0	A0A1U7E1N0_9ENTR	Kosakonia cowanii JCM 10956 = DSM 18146	1300165
A0A2J6PBM8	A0A2J6PBM8_HAEPA	Haemophilus parainfluenzae	729
A0A1H4TUU7	A0A1H4TUU7_9PSED	Pseudomonas proteolytica	219574
A0A077QFU5	A0A077QFU5_XENBV	Xenorhabdus bovienii str. Intermedium	1379677
A0A1R0E764	A0A1R0E764_HAEPA	Haemophilus parainfluenzae	729
Q87VW9	Q87VW9_PSESM	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	223283
Q31VY5	Q31VY5_SHIBS	Shigella boydii serotype 4 (strain Sb227)	300268
A0A0T9PBW5	A0A0T9PBW5_YERKR	Yersinia kristensenii	28152
A0A208ZAI4	A0A208ZAI4_YERKR	Yersinia kristensenii	28152
A0A0T9KZT0	A0A0T9KZT0_YERKR	Yersinia kristensenii	28152
A0A285GN23	A0A285GN23_9PSED	Pseudomonas sp. LAMO17WK12:I10	1286371
A0A2P8LA53	A0A2P8LA53_9PSED	Pseudomonas sp. R9.37	1390498
A0A097R6Z6	A0A097R6Z6_HAFAL	Hafnia alvei FB1	1453496
A0A0R2YR30	A0A0R2YR30_9PSED	Pseudomonas synxantha	47883
A0A1B8T4F2	A0A1B8T4F2_HAEPA	Haemophilus parainfluenzae	729
A0A2S4RLM4	A0A2S4RLM4_9GAMM	Pantoea sp. PSNIH5	1758192
A0A0S2K1A6	A0A0S2K1A6_9GAMM	Pseudoalteromonas phenolica	161398
A0A1Q8EK37	A0A1Q8EK37_9PSED	Pseudomonas chlororaphis	587753
A0A2K9C393	A0A2K9C393_9PSED	Pseudomonas sp. 02C 26	2054914
