Entry,genomic_dna_id
D5H1I2,CBL49867.1
A0A1E3S3P2,ODQ96730.1
A0A2U2J2Q5,PWG02633.1
A0A2K8VII9,AUC17123.1
J3HTU7,EJN05393.1
A0A0D8KBS3,KJF66784.1
A0A1E3AX20,ODM13199.1
A0A1H1MNA7,SDR88226.1
A0A2E7UEW3,MBO81650.1
A0A2W5Z2I9,PZR79463.1
A0A1M5VUW7,SHH79045.1
A0A2D3NYX0,ATV60196.1
J3HRZ4,EJN03758.1
A0A2G9E1N5,PIM74738.1
A0A2U2APK0,PWD85135.1
A0A2T3BZT4,PSS44581.1
A0A2W5ZTT2,PZR75004.1
A0A2E2NGM2,MAY76702.1
A0A0G3GXS1,AKK05340.1
A0A1C3XZ87,SCB57572.1
A0A015VBE4,EXZ06725.1
A0A096CLW5,KGF46274.1
A0A199RMD2,OAX89041.1
K0XDJ8,EJZ69422.1
A0A2R8CPH1,SPJ34800.1
A0A158F230,SAL13775.1
A0A252F815,OUM21896.1
J0VLV3,EJC74311.1
A0A2H0CIB4,PIP69090.1
A0A2S9AHU1,PRB14402.1
A0A0C1DMZ0,KIA70927.1
I4KAU4,EIK61834.1
A4P0Y9,EDK12916.1
A0A101K3Y9,KUL97064.1
E9YV32,EGB61687.1
A0A0J1VFW5,KLW85695.1
A0A2N5DV97,PLR30957.1
E7T8D8,EFW61724.1
D0TJW2,EEY81435.1
A0A2N6UE47,PMC79869.1
A0A0D6NMG9,GAN66601.1
A0A1E4KQZ6,ODU44738.1
W8RQE9,AHL74266.1
L7WDD7,AGC78109.1
A0A1E4L2C6,ODU48683.1
A0A2N8SQY4,PNG04891.1
E8W1N0,ADW05113.1
A0A0L8J5W2,KOG08904.1
A0A0E2H600,ENZ11056.1
A0A158M7W2,KAK99610.1
A0A1I4MCB3,SFM00894.1
A0A085ULM3,KFE44086.1
A0A261FB14,OZG56329.1
A0A2T0S7D1,PRY29316.1
A0A2D4U4K3,MAA96512.1
A0A2T1N6P1,PSG87255.1
A0A0P8AEC4,KPQ16278.1
A0A255HYR7,OYO32572.1
A0A0J5H480,KTZ15663.1
A0A2S6J5L8,PPL11491.1
A0A0V8IW11,KSU78942.1
A0A1A0RZ41,OBB39925.1
A0A0Q7VRC4,KQZ22715.1
A0A172WR06,ANF25787.1
A0A0Q7XYG1,KQZ50713.1
A0A0N9HT03,ALG06460.1
A0A2G6YFA4,PIF93563.1
E0TBM1,ADM08396.1
A0A1E4IZ29,ODU15407.1
R5PPB6,CCZ18008.1
A0A244EL43,OUM05196.1
A0A1F1GKF6,OFR67303.1
A0A063UC11,KDD57904.1
F3G447,EGH41847.1
A0A1V3QBZ9,OOG62094.1
A0A1N6YZ13,SIR19739.1
A0A0M4CIH8,ALC05326.1
A0A1I5I5N6,SFO55837.1
A0A1H2IG27,SDU43099.1
K9XXA2,AFZ36726.1
A0NYH9,EAV42175.1
A0A1M5JXY8,SHG45245.1
A0A0S2P0V9,ALO94379.1
A0A1B8ZXE7,OCA76224.1
A0A2P6FQT4,PQM57897.1
A0A0M6Y0I9,CTQ43635.1
A0A1Z4MFD4,BAY92179.1
X6DYW5,ESY81364.1
A0A285C3H1,SNX61845.1
K5XZF4,EKN06142.1
A0A290MUZ3,ATC35823.1
A0A0G1A4T9,KKS55969.1
A0A2N6V2Y0,PMC91622.1
A0A2U2PMS0,PWG82697.1
A0A285CF78,SNX65995.1
H1LKX5,EHO45891.1
Q07M66,ABJ06968.1
S4H3U2,EPI53853.1
A0A1X6ZUV7,SLN62302.1
A0A1G9UBE4,SDM57280.1
J3E2N0,EJN38044.1
A0A0P1FZW7,CUH66171.1
A0A101KWM4,KUM28344.1
A0A1I0JVJ7,SEU14782.1
A0A2G2K893,PHS06790.1
A0A091CEW9,KFN93258.1
A0A0N1MJ22,KPH13057.1
J3AGH4,EJM65218.1
A0A031GND5,EZP38574.1
W7DM94,EUJ53466.1
A0A1C4NWH3,SCE02408.1
A0A0T0MNS9,KQT02611.1
G7VW58,AET58859.1
D1CVP0,EEZ32333.1
A0A291Q9N5,ATL28409.1
A0A2G1UIJ4,PHQ14304.1
A0A1Q5ZZN8,OKS87230.1
A0A0R1VJC8,KRM05586.1
A0A074LIV3,KEO79758.1
L8MAQ2,ELS24651.1
A0A1I7EUP7,SFU27628.1
A0A0L1JRE7,KNG94292.1
A0A0Q4KS09,KQN24753.1
A0A1Y4ELX2,OUO72423.1
J8HNX2,EJR70079.1
A0A1D8Y7Z7,AOX61704.1
V5G989,EST02762.1
A0A084GXP2,KEZ52104.1
A0A2U9P2J8,AWT43826.1
A0A1G8P8J2,SDI88628.1
A0A255X0D0,OYQ10433.1
A0A1B4YS42,BAV49997.1
A0A1H3MX10,SDY80775.1
A0A2I7YGT1,AUS78399.1
A0A0G1C653,KKS54141.1
A0A1J0UFF7,APE18516.1
E4TFW5,ADR19621.1
A0A0G4CTJ0,BAR81770.1
A0A1A5I2Y8,OBP82067.1
A0A1H4IGM2,SEB33231.1
A0A246IVJ4,OWQ84233.1
B1FZ03,EDT10971.1
E8U0B9,ADU98667.1
A0A290XH51,ATD68389.1
A0A1X4P303,OSQ66027.1
A0A0A2DIP0,KGM19060.1
A0A1E7V7E4,OEZ56764.1
A0A1G9L099,SDL55411.1
A0A1G6RGG6,SDD03739.1
J3FVU0,EJM46210.1
F1VX71,EGF32809.1
Z4WW32,EWC91980.1
A0A1F5ELL5,OGD68319.1
A0A0X8D8I6,AMA75868.1
A0A1W6KI09,ARM86949.1
A0A1I3I897,SFI44218.1
A0A1A2CTV7,OBF83249.1
A0A1G8FIK0,SDH81970.1
G2SI76,AEN74132.1
A0A0M8V2G8,KOV56115.1
A0A166QSC3,OAA25612.1
A0A1G1SLT9,OGX79580.1
A0A0R2NYD8,KRO29248.1
C6Z6N8,EET16547.1
U1QIY6,ERH22161.1
R6ALH8,CDA47391.1
A0A0C1F6I9,KIA88812.1
A0A1Y2N648,OSY42398.1
A0A011J8C9,EXI17985.1
A0A1W6DVD5,ARK06727.1
A7A2Y1,EDN83264.1
N8WMM1,ENU98123.1
A0A259CM37,OZA02747.1
A0A290N2I1,ATC34952.1
A0A250LUV0,BBA51620.1
A0A238KXR7,SMX47430.1
G7CCJ0,EHI14453.1
A0A2G5RGP0,PIC01857.1
U2G2E5,ERJ22249.1
A0A0J5PCR1,KMK54193.1
A0A0L1LLD3,KNH17007.1
A0A1E5HF28,OEG23405.1
A0A0J7Z485,KMS70589.1
A0A085VMP5,KFE56708.1
A0A1E3KXT4,ODP26349.1
A0A0L8JLM6,KOG14556.1
A0A1F6FFB5,OGG84534.1
A0A0F9YKL0,KKP32034.1
A0A2N6T342,PMC63704.1
A0A2M6WEF9,PIT91172.1
A0A0D9ARX0,KJH83728.1
A0A0M1VSQ2,EEO39595.1
A0A0A1FWY6,AIY48139.1
R6FCL8,CDB06696.1
A0A1Q5FAZ5,OKJ17452.1
B1MYM2,ACA82624.1
A0A0A0JLN0,KGN36516.1
A0A2N6QAG2,PMC16349.1
A0A1F8LTM2,OGN89685.1
F0RSX9,ADY13926.1
A0A2N8S1C5,PNF80443.1
R6YHX7,CDD18007.1
A0A254RBF1,OWU86581.1
A0A024P9K0,CDQ25406.1
A0A1G9BY89,SDK43915.1
A0A1F1F5M6,OFR49880.1
A0A1T4X0M9,SKA83049.1
A0A2I1VPI4,PLA20031.1
A0A2G6VSC4,PIF61068.1
A0A1L5Y5V5,APP85880.1
A0A158B0H1,SAK63728.1
A0A2N8N9A9,PNE25352.1
D2EH52,EFA27297.1
A0A0U1CV73,CQD02565.1
A0A1X1ATD7,ORM30233.1
D1BYF9,ACZ31831.1
W2DJ28,ETK18766.1
A0A1E7X5V9,OFA08212.1
S4GT35,EPI48603.1
A0A2V5CRD4,PYG25192.1
A0A0P9LLL6,KPW55343.1
A0A2A2W0I5,PAY14728.1
Z4WQB4,EWC91453.1
A0A1X3RQB1,OSN03943.1
A0A1I5AL17,SFN63092.1
A0A2W1JYT5,PZD79279.1
I0JHK7,CCG43625.1
A0A2S5DTG2,POZ82410.1
A0A0U1AXQ0,CPW53011.1
A0A0G4B0C2,AKM81294.1
A0A1M6C8G9,SHI57091.1
N1MSL4,CCW18413.1
A0A1X2DY24,ORW93052.1
A0A286IDA6,SOE18123.1
N9S6H9,ENX50151.1
A0A1R2D683,OMJ98862.1
A0A0J6DPH3,KMM46234.1
W2ULE6,ETN94784.1
A0A269W0F9,PAK51773.1
A0A1T1JJP7,OOW14647.1
A0A2B3IPG0,PFT14412.1
J7TDA9,EDU38377.1
A0A1W1XY56,SMC28890.1
A0A0F5R1Y6,KKC47190.1
A0A1N7PB56,SIT07736.1
A0A2B3FN37,PEC52730.1
A0A243FZ67,OTZ94237.1
C4VL50,EEQ24792.1
G9YR54,EHM50281.1
A0A1G7LC41,SDF46981.1
A0A1H2EGW0,SDT94357.1
A0A2A8RCJ8,PEX91803.1
A0A255ILU5,OYO39374.1
A0A0S2MKP4,ALO75250.1
A0A2B9D2B7,PGM86808.1
U2JNI0,ERJ81395.1
F5VY42,EGL88093.1
A0A0Q7KC49,KQX71838.1
A0A0G3GNH4,AKK02679.1
A0A2G6TQU3,PIF36013.1
A0A2B0TS13,PFU45224.1
A0A0E1YVY1,EGE76792.1
H1UMK7,GAB29888.1
A0A1G9UW29,SDM64056.1
A0A2P2BP42,CEI72126.1
A0A2A8M8D8,PET11802.1
A0A261V2D7,OZI67690.1
R6R6U0,CDC44603.1
A0A0D1AHG1,KIS22569.1
L2L9T4,ELB00871.1
R2SVD2,EOH96761.1
A0A086GH72,KFF94739.1
I4K7F4,EIK60644.1
A0A0D7X2L3,KJD45218.1
A0A0X8X164,BAU53899.1
A0A2P8I6Q8,PSL54152.1
A0A2T0EA87,PRT17808.1
A0A2W7IT84,PZW42677.1
A0A2U8PD68,AWL95686.1
A0A1I4V1I7,SFM94933.1
I7A2T1,AFN75498.1
A0A2R4S4S5,AVZ42283.1
A0A1G9YT16,SDN11775.1
A0A081BG76,GAK47044.1
E8N1N5,BAJ62640.1
A0A0U4XAE8,ALZ88532.1
A0A1T1HR66,OOV92344.1
A0A2M9HYN6,PJM81930.1
A0A222XFK8,ASR57048.1
K8PKA9,EKS38798.1
A0A1G6DRN6,SDB47798.1
A0A2W7IG72,PZW44135.1
A0A2U1T0F5,PWB97336.1
A0A2T1GG55,PSB56605.1
A0A1F7JR81,OGK58124.1
A0A1X1T0N3,ORV37844.1
A0A0N0GFM7,KPC31772.1
A0A2S7AH82,PPU09250.1
D3FUZ2,ADC48418.1
R5RQ84,CCZ40809.1
A0A0X3X3X5,KUL63754.1
A0A0J8VHS9,KMV32746.1
D1AKD2,ACZ09048.1
A0A066PUC2,KDM66852.1
A0A1D3NRA5,PFE14437.1
A0A1A2UCC4,OBH86186.1
A0A0L1NC95,OFD05865.1
A0A2N0YME8,PKF97198.1
A0A2B2MCB6,PFQ52240.1
X8HGT4,EUB27348.1
A0A1S9TN42,OOR11352.1
A0A1G7DJ24,SDE51499.1
A0A0K6J437,CUB10075.1
A0A1D3QY06,SCN37820.1
A0A2A2P1B6,PAW39236.1
A0A1C4G891,SCC63981.1
A0A2B0CC62,PGU64792.1
Q2NK99,ABC65144.1
A0A2H3KA58,PDS22020.1
S7U2P2,EPR43721.1
A0A0Q7YTE3,KQZ64803.1
V8K223,ETE19585.1
A0A1H3CI09,SDX53773.1
A0A2B8LYF5,PEA26386.1
A0A1B1KXC9,ANS45112.1
A0A2A8NXI4,PEU93288.1
A0A0Q5DD60,KQQ38266.1
R5H3V0,CCY19446.1
A0A2N5FFP0,PLR67311.1
E0QIM4,EFM39418.1
C4WI78,EEQ95004.1
A0A1C4G030,SIR48310.1
A0A2J9C541,PNK38378.1
A0A0A6VMP7,KHD95708.1
A0A2C0BI30,PGM86577.1
A0A0G8EVT1,KLA28265.1
A0A2B1KKU7,PFN27104.1
A0A2C1CX15,PGS92203.1
A0A0F7LYQ5,AKH68435.1
A0A0F7KTQ5,AKH42180.1
A0A2B1J790,PFO76869.1
A0A2B1E748,PFM46375.1
T0H6U8,EQB12056.1
A0A0Q4N4U0,KQN63929.1
A0A1C5IPB3,SCG60168.1
L7K2U9,GAB83384.1
A0A1X0KJ02,ORB74582.1
A0A2A3Y495,PCC32491.1
A3W4T9,EAQ24395.1
A0A2A8EE80,PEO01356.1
A0A2C2U7R9,PGX97703.1
A0A2A7QLD8,PEG81745.1
A0A1C4G6R3,SCC63431.1
A0A0G0XD60,KKS22805.1
A0A1Y4QKJ7,OUQ05825.1
A0A0Q6Z3H4,KQW22758.1
A0A0J7EPC9,KMP94122.1
A0A1T2PFA7,OOZ80448.1
A0A2C2GS77,PGW45513.1
V0ANN6,ESA98782.1
D0J025,ACY31492.1
A0A2B8RGX8,PGM39124.1
U6SQF0,ERN52856.1
A0A2B5MEQ2,PHE86810.1
A0A2B4BIN4,PFV32391.1
A0A1M6RJT2,SHK32684.1
D1YSA2,EFB85475.1
A0A2R7MDX2,PTT19933.1
A0A161XB42,KZM70368.1
A0A0M4HLK1,ALD19954.1
A0A2A8S2Q7,PEY42430.1
A0A2W4S2P9,PZN65807.1
A0A2S7N5Q6,PQD97305.1
A0A0F5XEK1,SCS50842.1
A0A2W4R7S2,PZN58690.1
A0A2W4IZZ0,PZM92204.1
A0A109LN92,KWV90715.1
A0A1Y5ZDJ6,SMD90024.1
A0A2W4RWB2,PZN88311.1
A0A2W4R2P4,PZN78282.1
A0A2W4P5I4,PZN32970.1
C7NFA7,ACV07360.1
A0A2W4JXY8,PZN03019.1
A0A2W4MYV7,PZN40611.1
A0A0R2NI58,KRO25464.1
A0A2T0W682,PRY81373.1
A0A2N2VRQ1,PKO94629.1
L0KU38,AGB48200.1
A0A2V4SVM9,PYE05050.1
A0A2W4KY60,PZN16135.1
A0A2C2V906,PGY10116.1
A0A1C4V1J4,SCE77888.1
A0A2A2WNF5,PAY22759.1
A0A1Q6USB8,OLA89128.1
A0A0Q7TQJ7,KQZ02852.1
A0A1S7Q801,CUX32412.1
A0A2T5AIF3,PTM86514.1
Q7NAU3,AAP56892.2
L8MXI6,ELS31529.1
A0A0R3FV09,KRQ36573.1
A0A2B7JQW5,PGF34844.1
F9VSS1,GAA11660.1
A0A1I6KIK6,SFR90710.1
A0A1H7GVL8,SEK39915.1
A0A126RJ14,AMK22127.1
A0A0E4H181,CQD20219.1
A0A2T5BG43,PTM97970.1
A0A1S2WD30,OIN68306.1
A0A2R8A973,SPF28781.1
A0A2W1JUF0,PZD77398.1
A0A2T4UCD9,PTL54890.1
J8VBE2,EJT84652.1
A0A0E2BN29,EKQ07989.1
A0A1C3NQ58,SBV52519.1
A0A2V4F355,PXZ46387.1
A0A2T4U093,PTL36804.1
W2VH36,ETO96743.1
D9RUI5,ADK95971.1
A0A1J4WDM5,OIO47324.1
A0A1E3FIE8,ODN23193.1
A0A0C7NKF8,CEP78371.1
A0A147HBY6,KTT27347.1
A0A2I5HTS6,ATW71915.1
A0A1S6WSI4,AQX19268.1
A0A267XAJ6,PAC81876.1
A0A0T2IHY3,KQZ90270.1
A0A0D6N908,GAN61976.1
A0A1E9BXX1,OFK98170.1
A0A0L7MEZ2,KOC20469.1
A0A246TV25,OWV96699.1
A0A1D3TT65,SCP97139.1
A0A1H2Q127,SDW00837.1
X8K3U7,EUC78198.1
A0A2A7NDC6,PEG41783.1
L8MV75,ELS31381.1
A4EUG2,EBA16743.1
A0A1H0VA79,SDP74986.1
A0A0X8K727,AME01773.1
A0A260A6V3,OZC87243.1
A0A1Y1J6M1,GAW77398.1
S9QAE5,EPX78351.1
A0A0M2LG59,KKI14734.1
A0A0N0MNH9,KPI00951.1
S6D0R7,CCT60607.1
A0A0R1F312,KRK16208.1
F9HLL1,EGP69419.1
A0A199XRC3,OAZ03879.1
A0A231VXR7,OXT13000.1
A0A1B4F241,AOI97745.1
A0A2N3VCY5,PKV79467.1
A0A0U2MGT1,ALU15373.1
A0A0K9USE3,KNA58412.1
H4KMQ3,EHU38813.1
A0A1L4FTE0,APJ38842.1
A0A2I1RI29,PKZ68783.1
A0A1B8PWP3,OBX60396.1
A0A096FPT7,KGH31954.1
A0A095EZ48,KGB82043.1
A0A1V9FJS0,OQP58592.1
A0A172TZZ6,ANE52576.1
A0A0J7D8A0,KMP73659.1
A0A1Q9JPC2,OLR58059.1
A0A0P0PHY7,KXO05890.1
A0A1G8JDS8,SDI29444.1
L1NG22,EKY02271.1
A0A2A8PS43,PEV97896.1
A0A150C3X7,KXY32978.1
A0A2T1NCR0,PSG90197.1
A0A2S6FDR1,PPK35555.1
J3G2X7,EJM52460.1
A0A2C9A0S6,SOE72426.1
A0A2W1N1U0,PZE17764.1
A0A0A0EJC0,KGM50375.1
A0A1X0FG67,ORB00787.1
A0A256L8M4,OYR89779.1
J0SV24,EJG14824.1
A0A1N6NYG4,SIP97047.1
A0A0W0Y3J4,KTD51206.1
A0A221LY25,ASN10591.1
A0A0X8CVK5,AMA61792.1
A0A1U9RDV2,AQU84323.1
A7VB12,EDO59015.1
D3T317,ADD02619.1
A0A1X1TVW8,ORV48732.1
A0A250VIN0,GAX54031.1
K8VXF1,EKT52883.1
A0A2G6SD58,PIF19295.1
A0A0J6VX22,KMO73967.1
X6G233,ESZ13430.1
X8IRR6,EUC51889.1
A0A192F2B2,ANK37393.1
A0A256LB71,OYR89772.1
A0A1G0NCE0,OGU21104.1
A0A0G3UZM6,AKL72958.1
A0A0R1ZN36,KRM55882.1
A0A091ATQ5,KFN43563.1
J9AIM8,EJV66651.1
A0A090NJ63,ESU80405.1
D7IWW6,EFI07119.1
A0A117ED90,GAQ62153.1
C3C937,EEM20248.1
A0A191TMH4,ANI89902.1
A0A1H8LCQ0,SEO02911.1
U1FYI0,ERF49954.1
C7ISB0,EEU62458.1
A0A2A6NLU3,PDT75529.1
A0A2I8QZM8,AUV11668.1
A0A0Q9CF16,KRD42080.1
A0A136K348,KXK03825.1
A0A269Y371,PAK79994.1
A0A0U3MBQ2,ALV05785.1
A0A1C4YEP9,SCF19232.1
J2X3L3,EJK89300.1
A0A072MX96,KEF29353.1
A0A290ZXS2,ATE70746.1
A0A1G6MK31,SDC55587.1
E7SRT5,EFW57598.1
A0A2N4YQQ0,PLM82763.1
A0A1I0KPX3,SEU27362.1
A0A255SVS4,OYP56992.1
L1Q9T5,EKY24686.1
N9QW60,ENX31122.1
A0A1Q8M0X4,OLM34706.1
K9DN37,EKU78790.1
A0A1I6MQ35,SFS17737.1
A0A292QM96,DAA81543.1
A0A085TZF5,KFE36102.1
A0A2K8RYN1,AUA55475.1
A0A1H1QKB2,SDS23773.1
S4HUT2,EPI44170.1
A0A2V5BK75,PYG48468.1
A0A1F1FZN7,OFR60116.1
F7KVG5,EGN34547.1
A0A0L0R4G0,KNE25709.1
A0A0F5JQ68,KKB59537.1
A0A2R4J2E1,AVV35739.1
A0A1W7ABB2,ARQ06824.1
A0A0H3L7D7,BAL64901.1
A0A251ZWL5,OUI79043.1
A0A0A3YL37,KGT86229.1
A0A0F5VTW5,KKD04820.1
N1MFR4,CCW14502.1
A0A0P7C594,KPM47242.1
A0A0H2ZMT3,ABJ54462.1
A0A2S0N672,AVO43638.1
A0A2S0I185,AVJ25778.1
A0A2V4N0K2,PYC47462.1
A0A2U9D1X6,AWP31481.1
A0A2N3VC68,PKV79201.1
A0A0Q9Y598,KRG16159.1
A0A1G4RUU7,SCW59859.1
A0A178KGT3,OAN16215.1
A0A0Q9RCE4,KRF12919.1
A0A1Y6CWM1,SMF83793.1
U4KLN8,CCV64798.1
A0A1F0UMA6,OFQ20984.1
A0A1Y4FBY1,OUO81176.1
A0A076LMA4,AIJ07882.1
L8EZB1,ELQ84620.1
A0A0J7KV43,KMQ61025.1
A0A1Y4AMV1,OUO23597.1
C9B9S4,EEV49051.1
A0A0Q6SJ82,KQV38759.1
A0A1H0P3C8,SDO99206.1
A0A068NQV1,AIE85105.1
A0A243HA08,OUA29249.1
A0A2A5RMQ5,PCS00610.1
A0A1D3PPB7,SCN18800.1
A0A2D8K986,MAM13011.1
A0A2T1NA07,PSG88688.1
A0A0K6K500,CUB22600.1
A0A2C0CZ78,PGP87372.1
A0A1S9V635,OOR29956.1
R5KY92,CCY71798.1
A0A2S8STE9,PQV64075.1
A0A2S4ZZV2,POY35403.1
A0A2V2HDR7,PWN16900.1
A0A2C2A528,PGV64461.1
A0A1F0T8T3,OFQ04052.1
A0A1H1BQB9,SDQ54127.1
A0A1B2J2G9,ANZ68487.1
A0A0R3D2D9,KRQ03809.1
C3H7G1,EEM81570.1
A0A238GZM5,SMF98437.1
A0A2G6HHX5,PID98484.1
A0A1H9BJV5,SEP89159.1
F3SBK7,EGG76078.1
U7MCT4,ERS68842.1
A0A1M5YQN4,SHI14170.1
A0A2G6B3Y9,PID19875.1
R4UR45,AGM27676.1
W6RCI9,CDM56403.1
A0A239D212,SNS26465.1
Q6AGE6,AAT88549.1
I4LWE9,EIK81289.1
A0A0H4CCN0,AKN72489.1
A0A0U9HEB5,GAQ25157.1
A0A0M2AZB2,EPI17883.1
A0A0R2NL73,KRO26487.1
A0A1A2CR37,OBF82906.1
A0A1M4SSJ6,SHE35200.1
A0A176EE68,KZY09093.1
A0A0B5D1A2,AJE32625.1
A0A1E9Y568,OFN57805.1
A0A1M5CDJ6,SHF52760.1
A0A202DR53,OVE78487.1
A0A2A3G5G9,PBC50922.1
A0A101G481,KUK49717.1
U4UZL3,ERL97863.1
A0A0J5S931,KMK53287.1
A0A0N1BSB7,KPF81004.1
E0PEQ1,EFM27148.1
A0A1R3UG65,SIO84830.1
H8XNW7,CCG52234.1
A0A2I0GE02,PKH48879.1
A9DWD6,EDQ06046.1
F8GZ50,AEJ04122.1
A0A1G7JU84,SDF28527.1
Q3RFB2,EAO13527.1
A0A2G0X073,PHN38445.1
A0A1Q5EUP8,OKJ11816.1
A0A1S1F4S6,OHR55200.1
A0A0D7E7F5,KIZ36708.1
A0A1W6ZZM2,ARQ02770.1
A0A2K8W7Z9,AUC52435.1
A0A0K1JD02,AKU14470.1
A0A2A8CXD4,PEN13048.1
A0A2M7QH32,PIY71643.1
R8FCS3,EOO46077.1
A0A1S1SJ97,OHV73292.1
U6FNJ7,CDI64145.1
A0A1A7R9F8,OBX28546.1
A0A286GWH9,SOD99842.1
A0A196Q5I8,OAN87008.1
A0A120JTL1,AMC93242.1
A0A0R1I8U7,KRK51866.1
A0A2R7KX43,PTT01775.1
A0A286DXY6,SOD63537.1
A0A1K1QV26,SFW63767.1
N1MGG7,CCW14483.1
A0A0Q7TP80,KQZ02308.1
A0A2S8ZT69,PRB04423.1
A0A163V064,KZD16492.1
A0A0H4VZ91,AKQ42518.1
A0A1R4GCF4,SJM65868.1
E9DKF0,EFX55509.1
A0A0E2LE31,EQX24916.1
A0A0X8JY15,AMD96985.1
W2U4W6,ETN89108.1
A0A133S1J9,KXA62235.1
U3G9L5,EGY62223.1
Q0S4X8,ABG97408.1
A0A1G2QI38,OHA59692.1
A0A2A8HR45,PEQ11495.1
N8UA12,ENU84485.1
F1Z776,EGD59582.1
R9I981,EOS13086.1
A0A023DGR5,GAJ40494.1
W7CF49,EUJ37954.1
A0A1I1YVH8,SFE22040.1
R7IAH3,CDE48894.1
A0A2L2KY68,AVH36938.1
H1HDS8,EHO78558.1
A0A2T0T5S6,PRY41022.1
A0A094L899,KFZ31038.1
T5JVG8,EQM55126.1
A0A1F0INY0,OFO87071.1
R7WVV0,EON11349.1
D2BXG2,ACZ78537.1
W4SJ02,GAE56138.1
A0A1H4RDX4,SEC29891.1
A0A1V2C243,OMQ07693.1
A0A1C3E6C3,ODA28791.1
A0A2I1KS58,PKY98472.1
